star_age,star_mass,log_R,log_Teff,log_L
1.503800869925132580e+07,1.000000000000000000e+00,-3.721057932544265950e-02,3.738588768778874805e+00,-1.653729735007471724e-01
1.804985965324772894e+07,1.000000000000000000e+00,-3.666355937462190129e-02,3.738664425646184952e+00,-1.639763061298648295e-01
2.166408079804341495e+07,1.000000000000000000e+00,-3.619267815510231190e-02,3.738754707589896142e+00,-1.626734159159798354e-01
2.600114617179823294e+07,1.000000000000000000e+00,-3.576666449416009141e-02,3.738867384677682537e+00,-1.613706802429497600e-01
3.120562462030401826e+07,1.000000000000000000e+00,-3.536780981797219697e-02,3.739001727402260222e+00,-1.600355999922656869e-01
3.745099875851095468e+07,1.000000000000000000e+00,-3.498558873225372096e-02,3.739153746893706831e+00,-1.586630798550406063e-01
4.494544772435928136e+07,1.000000000000000000e+00,-3.461478301291629617e-02,3.739312209418574007e+00,-1.572876183168981090e-01
5.393878648337727785e+07,1.000000000000000000e+00,-3.425254771898285366e-02,3.739463194880868979e+00,-1.559592058798515979e-01
6.473079299419887364e+07,1.000000000000000000e+00,-3.389088679175771696e-02,3.739597959632344537e+00,-1.546968250195013828e-01
7.768120080718478560e+07,1.000000000000000000e+00,-3.352612993522842422e-02,3.739711865937512592e+00,-1.535116860857702326e-01
9.322169018276786804e+07,1.000000000000000000e+00,-3.315068545173659870e-02,3.739805059934053766e+00,-1.523880211326182066e-01
1.118702774334675819e+08,1.000000000000000000e+00,-3.275535993670792428e-02,3.739883573805594441e+00,-1.512833146163997666e-01
1.342485821343072355e+08,1.000000000000000000e+00,-3.233205615006756045e-02,3.739955017981585694e+00,-1.501509303391535544e-01
1.611025477753148079e+08,1.000000000000000000e+00,-3.187275426412169294e-02,3.740025659237392386e+00,-1.489497615440344980e-01
1.933273065445238948e+08,1.000000000000000000e+00,-3.136923370683163820e-02,3.740100645737441720e+00,-1.476427744292577726e-01
2.319970170675747991e+08,1.000000000000000000e+00,-3.081136645780473138e-02,3.740183821776675188e+00,-1.461943357742706007e-01
2.784006696952359080e+08,1.000000000000000000e+00,-3.018587709071730157e-02,3.740279064385822583e+00,-1.445623866035050109e-01
3.340850528484292030e+08,1.000000000000000000e+00,-2.947555109875201265e-02,3.740389452344852650e+00,-1.427001827834548375e-01
4.009063126322611570e+08,1.000000000000000000e+00,-2.866072673365942583e-02,3.740519003085986505e+00,-1.405523310887354382e-01
4.810918243728595376e+08,1.000000000000000000e+00,-2.771582746607914247e-02,3.740671625772733933e+00,-1.380520418065837307e-01
5.773144384615775347e+08,1.000000000000000000e+00,-2.660995848581879444e-02,3.740851980920824715e+00,-1.351188832536995565e-01
6.927815753680391312e+08,1.000000000000000000e+00,-2.530506122952915979e-02,3.741066052584516743e+00,-1.316528020863548809e-01
8.313421396557930708e+08,1.000000000000000000e+00,-2.375182089184360926e-02,3.741319691518882884e+00,-1.275317656735165950e-01
9.976148168010977507e+08,1.000000000000000000e+00,-2.189290841078337518e-02,3.741622359615346838e+00,-1.226032683255403738e-01
1.197142029375463247e+09,1.000000000000000000e+00,-1.964747738536292906e-02,3.741980903364339195e+00,-1.166782312787305598e-01
1.436574684464702129e+09,1.000000000000000000e+00,-1.692078800162829036e-02,3.742408170599098582e+00,-1.095157835722243844e-01
1.708083487505497217e+09,1.000000000000000000e+00,-1.376475362080008084e-02,3.742884416654674418e+00,-1.012987305882638994e-01
1.994789851934982538e+09,1.000000000000000000e+00,-1.034498714988091837e-02,3.743376154678810686e+00,-9.249224554987869884e-02
2.285935561572889328e+09,1.000000000000000000e+00,-6.779838849293213718e-03,3.743866613056750392e+00,-8.340011543694543505e-02
2.575314573716791630e+09,1.000000000000000000e+00,-3.131659920826238355e-03,3.744340968489912047e+00,-7.420633584736406607e-02
2.859476455765501022e+09,1.000000000000000000e+00,5.494653800340988745e-04,3.744797240531262617e+00,-6.501899708024325153e-02
3.136541042065087795e+09,1.000000000000000000e+00,4.247676047861192149e-03,3.745226636412847032e+00,-5.590499221825254855e-02
3.405852415143603325e+09,1.000000000000000000e+00,7.943773114059788851e-03,3.745631124308322679e+00,-4.689484650395134985e-02
